Email;Event;Framecount;PotionRotationX;PotionRotationY;PotionRotationZ;SessionID;Timestamp
anonymous;Sample;1;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:43.0972
anonymous;Sample;3;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:43.1857
anonymous;Sample;5;-0.0001;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:43.2149
anonymous;Sample;8;-0.0001;0.0000;0.0001;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:43.2572
anonymous;Sample;11;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:43.2995
anonymous;Sample;12;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:43.3134
anonymous;Sample;15;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:43.3537
anonymous;Sample;17;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:43.3804
anonymous;Sample;19;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:43.4102
anonymous;Sample;22;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:43.4510
anonymous;Sample;25;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:43.4941
anonymous;Sample;26;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:43.5068
anonymous;Sample;29;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:43.5470
anonymous;Sample;31;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:43.5768
anonymous;Sample;34;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:43.6194
anonymous;Sample;35;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:43.6326
anonymous;Sample;38;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:43.6715
anonymous;Sample;40;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:43.7015
anonymous;Sample;43;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:43.7311
anonymous;Sample;45;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:43.7555
anonymous;Sample;48;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:43.7994
anonymous;Sample;49;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:43.8138
anonymous;Sample;52;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:43.8550
anonymous;Sample;53;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:43.8692
anonymous;Sample;56;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:43.9110
anonymous;Sample;58;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:43.9440
anonymous;Sample;60;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:43.9715
anonymous;Sample;62;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:43.9967
anonymous;Sample;64;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:44.0245
anonymous;Sample;66;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:44.0512
anonymous;Sample;68;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:44.0790
anonymous;Sample;70;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:44.1058
anonymous;Sample;72;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:44.1338
anonymous;Sample;74;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:44.1615
anonymous;Sample;76;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:44.1897
anonymous;Sample;78;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:44.2166
anonymous;Sample;80;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:44.2442
anonymous;Sample;82;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:44.2716
anonymous;Sample;84;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:44.2994
anonymous;Sample;86;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:44.3278
anonymous;Sample;88;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:44.3561
anonymous;Sample;90;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:44.3826
anonymous;Sample;92;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:44.4105
anonymous;Sample;94;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:44.4396
anonymous;Sample;96;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:44.4668
anonymous;Sample;98;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:44.4947
anonymous;Sample;100;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:44.5227
anonymous;Sample;102;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:44.5494
